commit	score	score_std	mean_rank	p_top3	n_sims	status	description
a42634f	1882.6	118.9	5.02	0.396	2700	baseline	autoresearch incumbent
a42634f	1879.7	121.3	5.12	0.375	2700	discard	auto 0 confirmed: {"need_bonus": 48.005, "flex_bonus": 6.396, "depth_quota_rb": 4, "depth_quota_qb": 3, "surplus_penalty": 37.604, "bench_bonus": 8.578, "wait_discount": 0.688, "wait_margin": 10.235, "injury_penalty": 80.115, "rb_early_bonus": 7.266, "qb_earliest_roun
a42634f	1881.3	118.4	5.02	0.377	2700	discard	auto 1 confirmed: {"need_bonus": 2.898, "flex_bonus": 7.674, "depth_quota_rb": 4, "depth_quota_wr": 4, "surplus_penalty": 46.142, "bench_bonus": 4.582, "wait_discount": 1.0, "wait_margin": 5.785, "injury_penalty": 35.602, "rb_early_bonus": 8.745, "qb_earliest_round": 
a42634f	1844.8	130.9	6.06	0.267	300	discard	auto 2 screen: {"need_bonus": 28.303, "flex_bonus": 5.541, "depth_quota_rb": 4, "depth_quota_qb": 1, "surplus_penalty": 45.76, "bench_bonus": 7.768, "wait_discount": 0.874, "wait_margin": 7.104, "kdef_rounds_from_end": 1, "injury_penalty": 78.847, "rb_early_bonus":
a42634f	1848.2	118.7	5.95	0.3	300	discard	auto 3 screen: {"need_bonus": 18.348, "flex_bonus": 6.221, "depth_quota_wr": 6, "depth_quota_qb": 1, "surplus_penalty": 63.263, "bench_bonus": 9.113, "wait_discount": 0.359, "wait_margin": 9.5, "kdef_rounds_from_end": 1, "injury_penalty": 66.199, "rb_early_bonus": 
a42634f	1886.5	118.0	4.94	0.399	2700	keep	auto 4 confirmed: {"need_bonus": 34.51, "flex_bonus": 9.49, "depth_quota_rb": 4, "surplus_penalty": 32.434, "bench_bonus": 9.372, "wait_discount": 0.506, "wait_margin": 5.324, "injury_penalty": 65.86, "rb_early_bonus": 6.046, "avail_sigma": 10.0, "avail_strength": 0.5
a42634f	1879.0	113.5	5.14	0.377	300	discard	auto 5 screen: {"need_bonus": 27.189, "flex_bonus": 10.301, "depth_quota_te": 1, "surplus_penalty": 53.715, "bench_bonus": 10.909, "wait_discount": 0.501, "wait_margin": 7.399, "kdef_rounds_from_end": 3, "injury_penalty": 75.993, "rb_early_bonus": 8.059, "qb_earlie
a42634f	1883.3	123.1	5.02	0.391	2700	discard	auto 6 confirmed: {"need_bonus": 16.265, "flex_bonus": 11.162, "surplus_penalty": 44.557, "bench_bonus": 4.46, "wait_discount": 0.355, "wait_margin": 5.39, "injury_penalty": 21.078, "rb_early_bonus": 5.401, "qb_earliest_round": 6, "avail_sigma": 6.515, "avail_strength
a42634f	1885.1	117.6	4.95	0.395	2700	discard	auto 7 confirmed: {"need_bonus": 36.54, "flex_bonus": 8.838, "depth_quota_rb": 5, "depth_quota_te": 3, "surplus_penalty": 28.642, "bench_bonus": 8.449, "wait_discount": 0.579, "wait_margin": 5.0, "injury_penalty": 61.846, "rb_early_bonus": 5.71, "te_earliest_round": 2
a42634f	1874.9	124.1	5.41	0.357	300	discard	auto 8 screen: {"need_bonus": 49.767, "flex_bonus": 16.281, "depth_quota_rb": 3, "depth_quota_wr": 4, "depth_quota_te": 3, "depth_quota_qb": 1, "surplus_penalty": 33.502, "bench_bonus": 13.118, "wait_discount": 0.318, "wait_margin": 6.539, "injury_penalty": 71.844,
